1,1,1,3394
2,2,1,4038
3,3,1,4516
4,4,1,4997
5,5,1,5484
6,6,1,5953
7,7,1,6425
8,8,1,6903
9,9,1,7385
10,10,1,7931
11,11,1,8385
12,12,1,8839
13,13,1,9292
14,14,1,9746
15,15,1,10201
16,16,1,10654
17,17,1,11108
18,18,1,11562
19,19,1,12015
20,20,1,12469
21,21,1,13377
22,22,1,14285
23,23,1,15192
24,24,1,16100
25,25,1,17007
26,26,1,17915
27,27,1,18823
28,28,1,19730
29,29,1,20638
30,30,1,21546
31,31,1,22453
32,32,1,23360
33,33,1,24269
34,34,1,25176
35,35,1,26083
36,36,1,26992
37,37,1,27899
38,38,1,28806
39,39,1,29713
40,40,1,30622
41,41,1,31529
42,42,1,32436
43,43,1,33345
44,44,1,34252
45,45,1,35159
46,46,1,39698
47,47,1,44236
48,48,1,48774
49,49,1,53312
50,50,1,57849
51,51,1,62388
52,52,1,66926
53,1,2,2496
